ID,Nombre,P_comestible,Energia_kcal,Agua_g,Alcohol_g,Proteinas_g,HC_g,Almidon_g,Azucares_sencillos_g,Azucares_libres_g,Fibra_g,Grasa_total_g,AGS_g,AGM_g,AGP_g,Colesterol_mg,VitA_ug,Retinol_ug,Carotenoides_ug,VitD_ug,VitE_mg,VitK_ug,VitB1_mg,VitB2_mg,Niacina_mg,VitB6_mg,Folato_ug,VitB12_ug,VitC_mg,Biotina_ug,Pantotenico_mg,Calcio_mg,Fosforo_mg,Magnesio_mg,Hierro_mg,Sodio_mg,Cinc_mg,Iodo_ug,Manganeso_mg,Potasio_mg,Selenio_ug,Cobre_mg
010101,Arroz,1.0,364.0,9.4,0.0,6.7,81.6,81.4,0.16,0.0,1.4,0.9,0.19,0.23,0.32,0.0,0.0,0.0,0.0,0.0,0.076,1.0,,,,,,,,,,,,,,,,,,,,
010102,Arroz blanco de cocción rápida,1.0,349.0,12.9,0.0,6.9,78.2,78.2,0.0,0.0,1.4,0.6,0.15,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.1,1.0,,,,,,,,,,,,,,,,,,,,
010103,Arroz integral,1.0,350.0,14.2,0.0,7.3,74.1,72.7,1.4,0.0,2.2,2.2,0.61,0.55,0.81,0.0,0.0,0.0,,0.0,0.74,1.0,,,,,,,,,,,,,,,,,,,,
010104,Arroz salvaje,1.0,356.0,7.8,0.0,14.7,68.7,66.2,2.5,0.0,6.2,1.1,0.16,0.16,0.68,0.0,1.8,0.0,11.0,0.0,0.82,,,,,,,,,,,,,,,,,,,,,
010105,Avena,1.0,353.0,15.8,0.0,11.7,55.7,55.7,0.0,0.0,9.7,7.1,1.5,2.6,2.9,0.0,0.0,0.0,,0.0,0.84,50.0,,,,,,,,,,,,,,,,,,,,
010106,Bulgur,1.0,344.0,9.0,0.0,12.3,64.5,64.1,0.41,0.0,12.5,1.3,,,,,0.0,0.0,5.0,0.0,0.06,,,,,,,,,,,,,,,,,,,,,
010107,Cebada,1.0,330.0,10.1,0.0,9.9,62.1,61.3,0.8,0.0,15.6,1.2,0.24,0.15,0.56,0.0,2.2,0.0,13.0,0.0,0.02,2.2,,,,,,,,,,,,,,,,,,,,
010108,Centeno,1.0,372.0,0.0,0.0,14.8,65.2,64.2,1.1,0.0,14.6,2.5,0.29,0.3,1.1,0.0,1.2,0.0,7.0,0.0,1.9,5.9,,,,,,,,,,,,,,,,,,,,
010109,Fécula de maíz,1.0,356.0,10.9,0.0,0.41,88.0,88.0,0.0,0.0,0.6,0.08,0.011,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
010110,Germen de trigo,1.0,355.0,13.9,0.0,28.6,30.6,15.4,15.2,0.0,17.7,9.2,1.2,1.2,4.0,0.0,10.3,0.0,62.0,0.0,24.4,131.0,,,,,,,,,,,,,,,,,,,,
010111,"Gofio canario, tostado",1.0,356.0,6.1,0.0,10.1,64.8,63.4,1.4,0.0,16.2,2.7,0.31,0.36,1.2,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,
010112,Harina de arroz,1.0,349.0,11.9,0.0,7.6,78.0,77.9,0.12,0.0,0.0,0.7,0.2,0.22,0.19,0.0,0.0,0.0,0.0,0.0,0.11,0.0,,,,,,,,,,,,,,,,,,,,
010113,Harina de centeno,1.0,326.0,13.4,0.0,10.0,59.7,59.7,0.0,0.0,15.0,1.9,0.24,0.2,0.85,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,
010114,Harina de maíz,1.0,342.0,13.2,0.0,8.3,66.3,66.3,0.0,0.0,9.4,2.8,0.35,0.88,1.4,0.0,50.0,0.0,300.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
